discriminant,regime_code,x,sigma,diffusion,U_geom,U_fin,U_eff
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.917499999999999982e+00,3.702361250000000270e-01,6.853739412750782523e-02,-7.404722500000000471e-03,6.701367049026937806e-02,5.960894799026937585e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.910000000000000142e+00,3.693620000000000236e-01,6.821414352200000364e-02,-7.387240000000000646e-03,6.697275837944961785e-02,5.958551837944961460e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.902499999999999858e+00,3.684901250000000017e-01,6.789248611125781041e-02,-7.369802500000001422e-03,6.693232813332294917e-02,5.956252563332294081e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.895000000000000018e+00,3.676205000000000167e-01,6.757241601012500820e-02,-7.352410000000001063e-03,6.689237807387543588e-02,5.953996807387543222e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.887500000000000178e+00,3.667531250000000131e-01,6.725392734863282207e-02,-7.335062500000001304e-03,6.685290651949586660e-02,5.951784401949586356e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.879999999999999893e+00,3.658879999999999910e-01,6.693701427199999499e-02,-7.317759999999998675e-03,6.681391178487733340e-02,5.949615178487734080e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.872500000000000053e+00,3.650251250000000058e-01,6.662167094063281558e-02,-7.300502500000000984e-03,6.677539218091778361e-02,5.947488968091777656e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.865000000000000213e+00,3.641645000000000021e-01,6.630789153012500714e-02,-7.283290000000000423e-03,6.673734601461982219e-02,5.945405601461982437e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.857499999999999929e+00,3.633061250000000353e-01,6.599567023125782472e-02,-7.266122500000000463e-03,6.669977158898962588e-02,5.943364908898963322e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.850000000000000089e+00,3.624500000000000499e-01,6.568500125000001355e-02,-7.249000000000000235e-03,6.666266720293509418e-02,5.941366720293509568e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.842499999999999805e+00,3.615961249999999905e-01,6.537587880750780900e-02,-7.231922500000000607e-03,6.662603115116315367e-02,5.939410865116315219e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.834999999999999964e+00,3.607445000000000235e-01,6.506829714012500598e-02,-7.214890000000000712e-03,6.658986172407617421e-02,5.937497172407617263e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.827500000000000124e+00,3.598951250000000379e-01,6.476225049938282019e-02,-7.197902500000000550e-03,6.655415720766759413e-02,5.935625470766759532e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.819999999999999840e+00,3.590480000000000338e-01,6.445773315200001297e-02,-7.180960000000000121e-03,6.651891588341674044e-02,5.933795588341673338e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.812500000000000000e+00,3.582031250000000111e-01,6.415473937988282194e-02,-7.164062500000002026e-03,6.648413602818276091e-02,5.932007352818276236e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.805000000000000160e+00,3.573605000000000254e-01,6.385326348012500264e-02,-7.147210000000001930e-03,6.644981591409783450e-02,5.930260591409782650e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.797499999999999876e+00,3.565201249999999655e-01,6.355329976500780076e-02,-7.130402500000001566e-03,6.641595380845938257e-02,5.928555130845937493e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.790000000000000036e+00,3.556820000000000537e-01,6.325484256200002153e-02,-7.113640000000002669e-03,6.638254797362168336e-02,5.926890797362167895e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.782500000000000195e+00,3.548461250000000122e-01,6.295788621375782157e-02,-7.096922500000001771e-03,6.634959666688650115e-02,5.925267416688650285e-02
